87.55,87.54,87.54,87.53,87.52,87.51,87.5,87.49,87.49,87.48,87.47,87.46,87.45,87.44,87.43,87.42,87.41,87.4,87.39,87.38,87.37,87.36,87.35,87.34,87.33,87.32,87.31,87.3,87.28,87.27,87.26,87.25,87.24,87.22,87.21,87.2,87.18,87.17,87.16,87.14,87.13,87.11,87.1,87.08,87.07,87.05,87.03,87.02,87,86.98,86.96,86.95,86.93,86.91,86.89,86.87,86.85,86.82,86.8,86.78,86.75,86.73,86.7,86.68,86.65,86.62,86.59,86.56,86.53,86.5,86.46,86.43,86.39,86.35,86.31,86.26,86.21,86.16,86.11,86.05,85.99,85.92
85.07,85.05,85.04,85.02,85,84.99,84.97,84.95,84.94,84.92,84.9,84.88,84.87,84.85,84.83,84.81,84.79,84.77,84.75,84.73,84.71,84.69,84.67,84.65,84.63,84.6,84.58,84.56,84.54,84.51,84.49,84.47,84.44,84.42,84.39,84.36,84.34,84.31,84.28,84.25,84.23,84.2,84.17,84.14,84.1,84.07,84.04,84.01,83.97,83.94,83.9,83.87,83.83,83.79,83.75,83.71,83.67,83.62,83.58,83.53,83.49,83.44,83.39,83.33,83.28,83.22,83.17,83.11,83.04,82.98,82.91,82.84,82.76,82.68,82.6,82.51,82.42,82.31,82.21,82.09,81.97,81.83
82.51,82.49,82.47,82.44,82.42,82.39,82.37,82.34,82.32,82.29,82.27,82.24,82.21,82.18,82.16,82.13,82.1,82.07,82.04,82.01,81.98,81.95,81.92,81.89,81.86,81.82,81.79,81.76,81.72,81.69,81.65,81.62,81.58,81.54,81.51,81.47,81.43,81.39,81.35,81.3,81.26,81.22,81.17,81.13,81.08,81.04,80.99,80.94,80.89,80.84,80.78,80.73,80.67,80.62,80.56,80.5,80.44,80.37,80.31,80.24,80.17,80.1,80.02,79.95,79.87,79.78,79.7,79.61,79.52,79.42,79.32,79.21,79.1,78.98,78.86,78.73,78.59,78.44,78.29,78.12,77.93,77.73
79.84,79.81,79.78,79.75,79.72,79.68,79.65,79.62,79.58,79.55,79.52,79.48,79.45,79.41,79.37,79.34,79.3,79.26,79.22,79.18,79.14,79.1,79.06,79.02,78.98,78.94,78.89,78.85,78.8,78.76,78.71,78.66,78.62,78.57,78.52,78.47,78.41,78.36,78.31,78.25,78.2,78.14,78.08,78.02,77.96,77.9,77.84,77.77,77.71,77.64,77.57,77.5,77.43,77.35,77.28,77.2,77.12,77.03,76.95,76.86,76.77,76.67,76.58,76.48,76.37,76.27,76.15,76.04,75.92,75.79,75.66,75.52,75.38,75.23,75.07,74.9,74.72,74.53,74.32,74.1,73.87,73.61
77,76.96,76.92,76.88,76.85,76.81,76.76,76.72,76.68,76.64,76.6,76.56,76.51,76.47,76.42,76.38,76.33,76.29,76.24,76.19,76.14,76.09,76.04,75.99,75.94,75.89,75.83,75.78,75.72,75.67,75.61,75.55,75.49,75.43,75.37,75.31,75.25,75.18,75.12,75.05,74.98,74.91,74.84,74.77,74.7,74.62,74.54,74.46,74.38,74.3,74.22,74.13,74.04,73.95,73.86,73.76,73.66,73.56,73.46,73.35,73.24,73.12,73.01,72.88,72.76,72.63,72.49,72.35,72.21,72.05,71.89,71.73,71.55,71.37,71.18,70.97,70.76,70.53,70.28,70.02,69.73,69.42
73.91,73.86,73.82,73.77,73.73,73.68,73.63,73.59,73.54,73.49,73.44,73.39,73.34,73.28,73.23,73.18,73.12,73.07,73.01,72.96,72.9,72.84,72.78,72.72,72.66,72.6,72.54,72.48,72.41,72.34,72.28,72.21,72.14,72.07,72,71.93,71.85,71.78,71.7,71.62,71.54,71.46,71.38,71.29,71.21,71.12,71.03,70.94,70.84,70.75,70.65,70.55,70.44,70.34,70.23,70.12,70,69.88,69.76,69.64,69.51,69.38,69.24,69.1,68.95,68.8,68.64,68.48,68.31,68.14,67.95,67.76,67.56,67.35,67.12,66.89,66.64,66.38,66.09,65.79,65.46,65.11
70.45,70.4,70.35,70.29,70.24,70.19,70.13,70.08,70.02,69.97,69.91,69.85,69.79,69.73,69.67,69.61,69.55,69.49,69.43,69.36,69.3,69.23,69.17,69.1,69.03,68.96,68.89,68.81,68.74,68.67,68.59,68.51,68.44,68.36,68.28,68.19,68.11,68.02,67.94,67.85,67.76,67.67,67.57,67.48,67.38,67.28,67.18,67.07,66.97,66.86,66.75,66.63,66.51,66.4,66.27,66.15,66.02,65.88,65.75,65.61,65.46,65.31,65.16,65,64.84,64.67,64.49,64.31,64.12,63.92,63.72,63.5,63.28,63.04,62.79,62.53,62.25,61.96,61.65,61.31,60.95,60.56
66.38,66.33,66.27,66.21,66.15,66.09,66.03,65.97,65.91,65.85,65.78,65.72,65.65,65.59,65.52,65.45,65.39,65.32,65.25,65.17,65.1,65.03,64.96,64.88,64.8,64.73,64.65,64.57,64.49,64.4,64.32,64.23,64.15,64.06,63.97,63.88,63.78,63.69,63.59,63.5,63.4,63.29,63.19,63.08,62.98,62.87,62.75,62.64,62.52,62.4,62.28,62.15,62.02,61.89,61.76,61.62,61.48,61.33,61.18,61.03,60.87,60.7,60.54,60.36,60.18,60,59.8,59.6,59.4,59.18,58.96,58.72,58.48,58.22,57.95,57.67,57.37,57.05,56.71,56.35,55.96,55.53
61.11,61.05,60.99,60.93,60.86,60.8,60.73,60.66,60.6,60.53,60.46,60.39,60.32,60.25,60.17,60.1,60.03,59.95,59.87,59.8,59.72,59.64,59.56,59.47,59.39,59.31,59.22,59.13,59.04,58.95,58.86,58.77,58.68,58.58,58.48,58.38,58.28,58.18,58.08,57.97,57.86,57.75,57.64,57.52,57.41,57.29,57.16,57.04,56.91,56.78,56.65,56.52,56.38,56.23,56.09,55.94,55.79,55.63,55.47,55.3,55.13,54.95,54.77,54.59,54.39,54.19,53.99,53.77,53.55,53.32,53.08,52.83,52.57,52.3,52.01,51.71,51.39,51.05,50.69,50.3,49.89,49.44
55.84,55.77,55.71,55.65,55.57,55.51,55.43,55.35,55.29,55.21,55.14,55.06,54.99,54.91,54.82,54.75,54.67,54.58,54.49,54.43,54.34,54.25,54.16,54.06,53.98,53.89,53.79,53.69,53.59,53.5,53.4,53.31,53.21,53.1,52.99,52.88,52.78,52.67,52.57,52.44,53.44,54.44,55.44,56.44,57.44,58.44,59.44,60.44,61.44,62.44,63.44,64.44,65.44,66.44,67.44,68.44,69.44,70.44,71.44,72.44,73.44,74.44,75.44,76.44,77.44,78.44,79.44,80.44,81.44,82.44,83.44,84.44,85.44,86.44,87.44,88.44,89.44,90.44,91.44,92.44,93.44,94.44
